artist,title,year,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
frankie laine,i believe,1950,"I Believe Lyrics[Verse 1]
I believe for every drop of rain that falls
A flower grows
I believe that somewhere in the darkest night
A candle glows

I believe for everyone who goes astray
Someone will come to show the way
I believe, I believe

[Verse 2]
I believe above the storm, the smallest prayer
Will still be heard
I believe that someone in the great somewhere
Hears every word
Every time I hear a newborn baby cry
Or touch a leaf or see the sky
Then I know why I believe

[Outro]
Every time I hear a newborn baby cry
Or touch a leaf or see the sky
Then I know why I believe
(Why I believe)Embed",0.089,0.879,0.032,-0.7506
johnnie ray,cry,1950,"Cry Lyrics[Intro]
Ooh-wah
Ooh-wah
Ooh-wah

[Verse]
If your sweetheart sends a letter of goodbye
It's no secret you'll feel better if you cry
When waking from a bad dream
Don't you sometimes think it's real?
But it's only false emotions that you feel
[Chorus]
If your heartaches seem to hang around too long
And your blues keep getting bluer with each song
Remember sunshine can be found behind a cloudy sky
So let your hair down and go on and cry
If your heartaches seem to hang around too long
And your blues keep getting bluer with each song
Well, now, remember sunshine can be found behind a cloudy sky
So let your hair down and go right on, baby, and cry
(Go on and cry)Embed",0.11,0.772,0.118,0.2732
p?rez prado,patricia,1950,"Patricia LyricsKiss her and your lips will always want Patricia
Stroll her, see Patricia move with all her charms
Mambo, Cha-cha, or Meringue it's Patricia
Heaven, that's where you'll be when she's in you're arms
[Instrumental Interlude]
??? in Japan they brag about the Geisha
Who cares, long Uncle Sam has got Patricia
Eyes that have a starry sort of gleam for you
She is like a million dollar dream come true
Everybody wishes they'd could steal her heart away, I guess
There's so many trying but she never, never will say yes
Eyes that have a starry sort of gleam for you
She is like a million dollar dream come true
Kiss her and your lips will always want Patricia
Stroll her, see Patricia move with all her charms
??? in Japan they brag about the Geisha
Who cares, long Uncle Sam has got PatriciaEmbed",0.029,0.747,0.224,0.9807
lefty frizzell,if you've got the money i've got the time,1950,"If You’ve Got The Money I’ve Got The Time Lyrics[Chorus]
If you've got the money I've got the time
We'll go honky tonkin' and we'll have a time
We'll make all the night spots dance drink beer and wine
If you've got the money honey I've got the time

[Verse 1]
There ain't no use to tarry so let's start out tonight
We'll spread joy oh boy oh boy and we'll spread it right
We'll have more fun baby all way down the line
If you've got the money honey I've got the time
[Chorus]
If you've got the money I've got the time
We'll go honky tonkin' and we'll have a time
Bring along your Cadillac leave my old wreck behind
If you've got the money honey I've got the time

[Verse 2]
Yes we'll go honky tonkin' make every club in town
We'll go to the park where it's dark we won't fool around
But if you run short of money I'll run short of time
Cause you with no more money honey I've no more time

[Chorus]
If you've got the money I've got the time
We'll go honky tonkin' and we'll have a time
We'll make all the night spots dance drink beer and wine
If you've got the money honey I've got the time1Embed",0.038,0.92,0.042,0.0112
lefty frizzell,i want to be with you always,1950,"I Want To Be With You Always Lyrics[Verse 1]
I lose my blues
Honey, when I'm with you
No one else can do
You're in my heart to stay
But when I'm gone
And I'm all alone
I'll be singing this song
I wanna be with you, always

[Piano Solo]
[Verse 2]
I'd be happy, dear
If you could only be here
And always be near
Forever and a day
Then we'd travel far
To some big shinin' star
Just you and my guitar
And stay there, sweetheart, for always

[Fiddle Solo]

[Verse 3]
I hope you feel the same
You really want my name
Well, you'll be the one who's to blame
If it works out wrong that day
'Cause my love is true
My love is only for you
I'll never be blue
If I can be with you alwaysEmbed",0.074,0.702,0.224,0.9835
lefty frizzell,how long will it take (to stop loving you),1950,"How Long Will It Take (To Stop Loving You) Lyrics[Verse 1]
How long would it take to count all the stars
How long would it take to climb up to Mars
How long has this old world stood so true
Well, that's how long it'd take me to stop loving you

[Verse 2]
How long has the sea had water so deep
How long has the mountain stood so steep
How long has it been since this world was new
Well, that's how long it'll take me to stop loving you
[Verse 3]
How long is forever and a day
How old is time dear, can you say
How long has God's love been so true
Well, that's how long it would take me to stop loving youEmbed",0.056,0.716,0.228,0.9821
lefty frizzell,look what thoughts will do,1950,"Look What Thoughts Will Do Lyrics[Verse 1:]
Once I thought I loved just you
And I thought you loved me too
But just look what thoughts will do
For today you say we're through
Now another wears the crown
And you think that you have found
Just what makes your world go round
Watch those thoughts they'll get you down
If within your future years
Your new love should bring you tears
Then you'll think of me I'm sure
[Chorus:]
But those thoughts won't help you dear

[Verse 2:]
Thought I'd build a home for two
Just a home for me and you
Thought we'd have some kiddies too
But just look what thoughts will do
Now I know just how you feel
That your love was never real
Guess to you I don't appeal
So we'll just forget the deal
So goodbye and here's to you
And I'm happy through and through
Yes you thought that I'd be blue

[Chorus]
But just look what thoughts will doEmbed",0.055,0.802,0.143,0.9652
lefty frizzell,my old pal,1950,"My Old Pal LyricsSongwriter: Jimmie Rodgers

I'm thinking of you tonight old pal and wishing that you were here
I'm dreaming of the time and the days gone by when you filled my heart with cheer
I remember the nights when all alone we sang Sweet Adeline*
No other face can take your place in my heart old pal of mine

The old pals are always the best you see new friends you can find every day
But they can't fill the places or ever be like the old pals of yesterday
[ fiddle ] (in the original, Mr. Rodgers yodels)
I'm wondering just where you are tonight and if you ever think of me
It would make my weary heart so light sweetheart your face again to see
But in my checkered life I find nothing comes right it seems
Still you'll always be a pal of mine though it may be only in dreams

The old pals are always...Embed",0.03,0.772,0.198,0.9857
lefty frizzell,i love you a thousand ways,1950,"I Love You A Thousand Ways Lyrics[Verse 1]
I love you, I'll prove it in days to come
I swear it's true
Darlin', you're the only one
I think of you, of the past and all our fun
I love you, I'll prove it in days to come
You're my darling, you've been true
I should have been good to you
You're the one that's in my heart
While we're apart
I'll be true
I'll prove it to you someday
My love is for you
In my heart you'll always stay
I've been so blue and lonesome all these days
[Chorus]
I love you, I'll prove it a thousand ways

[Verse 2]
I'll be nice and sweet to you
And no more will you be blue
I'll prove I love you everyday
All kinds of ways
Darlin' please wait
Please wait until I'm free
There'll be a change
A great change made in me
I'll be true, there'll be no more blue days

[Chorus]
I love you, I'll prove it a thousand waysEmbed",0.036,0.633,0.331,0.9971
lefty frizzell,"she's gone, gone, gone",1950,"She’s Gone Gone Gone Lyrics[Verse 1:]
She said If I ever deceived her
She'd be gone before I could count ten
I guess that I didn't believe her
'Cause look at the trouble I'm in

[Chorus:]
She's gone, gone, gone, gone, gone, gone
Crying won't bring her back
The more that I cry, the faster that train
Flies farther on down the track
[Verse 2:]
I've lost every right to be happy
When I lost the heaven I found
She warned me she'd leave and she left me
Before my first tear hit the ground

[Chorus]

[Verse 3:]
If I only knew where to find her
I'd crawl there on my hands and knees
Each tick of the clock's a reminder
She's one second farther from me

[Chorus]Embed",0.138,0.814,0.048,-0.8739
