artist_name,track_name,release_date,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
jamiroquai,revolution 1993,1993,home doubt longer bone meantime eternal people gon brother lifetime gun put revolution nineteen overtime intervention happens precon pick well blinded soul think ai draw higher strong still intro start chance camera intellect say step verse liberty life hope nine ca getting hard good answer hey habit break sometimes concerned fast get finding picture stronger new divine promising war hand respect sunshine line smile na got wait music sunrise ception want stand shake man wan let help one movin see zone paramilitary come faster long three thought job fight lose change sister crack coming instrumental black seem go know stay dog bridge matter right everything way yes spend take power working cash trouble begin question taking kid understand crime sweet time powerembed direction need human white day mankind neighbourhood yet gave learn care infection everybody,0.127,0.576,0.296,0.9819
steps ahead,trains,1986,instinct daring legend doubt success never taught lead fish sane ponytail others charged daretozlatan become pressure key grass overcome swedish mean hi put vocabulary something please make ground admires scout peace thing every think unlearn opponent improve risk character alotibeh embrace til weaker number best grown world predictable start gas chance millarharry keep breakfast miss safe step necessary believe stage practising inner belief easy life car hope unfair first volley shot rule surprising hey good yard next teaching would goalkeeper practice unbearable nothing train wise deal like cry writes shark weak becomes ask ahead send second amirunsalleh tomorrow pickled international foot danger got wait used although luck tap show overhead face frequently process blindfold minute trying growing goal applauds man nikefootball simple help let heat player one see must come sentence surprise always game work kick thought passed may lose word change armouredguy last trust koerazak stadium use khaledsaifi mattcrivelli in order scored edgleylfc ayyeitsarv tip header potential diving eurosport try christiaaannzz failure know true go zlatan might done fear yes way today reflex take follow men dear bicycle lunch impress sport question us hazardislife worst match named great play jesperbulykin score gut bailofwz rise muscle said time incorporate citralistyarini move dare ever need human turbo day white defender adrenalin together mad zlatans win learn dinner perfection continue performance nathanbkshanko skill dealing two heel twitter favourite teach herring http,0.143,0.576,0.281,0.989
horace andy,don't let problems get you down,1996,singer dead jocking nice chiba came mcgarrett praise low run gon lack set make ready record playing gold papes tyson think rock fun daughter subject telling intro flavor formed residence fame production life fact stick sink boogie getting coat program cry command palm rhyme healing face minute dan carnival thank beat partner girl since bottom mine soon money try client talk chan men smoke problem shit giant rest called beating allah nickname group share studio dealing many humdinger track glue chill nike name electric collecting shocking flat greater diggin krazy token hit start afro paper africa tried scoop rabbit hooky sure hard company hat get honorable mics dis microphone ahead dig foot na live originality aries interlude call started save better year mc bring breakdance away crack buying sex dough style shame ran backhand jam agony hype sport watched hooker treat strictly great play finger mic time big president hoodlum freak crew psych battle upset busy put showbiz chain pocket clocking shape green remember back mitch stain relying lord still hoe drug could plan hobby nose sweat keep hanging kicking sleep ta sucker type happy crate sometimes pack jay closed front stop sexual capture kind groupie timberland wait music head man moet lab see game always prop thought performin foreman loss twelve played black know hurl right fat volkswagen way take bengay defeat crowd ever rising softball effect damn finesse blow feeling never licking lick past gamed ago peace cop libra hood session calm instead keeping bat say step funky verse gim happen sniff ten nine nerd habit lady straight dj train morris deal outside like bomb dressed george clever got used horace pose show master lamp retreat stand hawaii wan let one come pulled forrest kick pulverize buster appealing smoking rapper watch whip bold weed open sign jackie go different trademark funkier sonny diamond old forever dread dapper compatible threat,0.164,0.642,0.194,0.8689
cocoa tea,grow your locks,1993,dead standing fuckin blood tuck chris tellin never dick clique jerk run xd teeth rat gon homecoming city pressure spine brother town jammin set ruffin gun put rip lil mean cleat make much bm beefed steady freaky lacking whole love goggles dee clutching apple caught well side think turn tell seen revolver county jb nah ai story temptation back pistole crazy daughter morgue tail knocked fresh thinking hoe blocked telling crutch intro hit passin enrolled could glizzy pistol tana beefing pushin strip keep say ringing tweak takin extra tried verse fuck car post round spinnin stick shot ca nine slid even ferris ten linked grab reece leave david date six cruise get hundred semi new claim motherfucker dj roll motown creep vick section front mama couple behind outside deal like heard hand floyd filled line swisher vest toreyy declined scrapin drill shank send dressed ask ball demon lived noah beef cappin grimeyy hot bro street drown rocked clapped bought got used ko killer stopped lock slide party mexico started kept borey grimmeyy find better cousin crib pull blowin lot sumner let bounty see slimy cuz come work infiniti lux thought box anxious ride goofy last smoking jiggy beat since thumper coming swear binkin deep lawn as block money go coco murdaa stay ran creeping know pound west twan took jam booked door team scraped knife smoke near keezy runnin pressin taking tyrell somebody bet free shit quit shell zoe bouncin heartbeat play dp score first called mail nwm time smokin said big sucking neighbor lawyer gang need service shakin known store nigga lean real ho told cot thou grow gave four mad tyga spin hide draco throw bharger flip cee damn bitch shooting thumbing blow stillwell killin,0.167,0.735,0.099,-0.966
brotha lynch hung,rest in piss,1995,cat dead ce die stayin never act mothafuckin dick slug bottle bone mind sack cloud strap wish full depth outro backfade trip set put rip something make drip maintain ready ounce hyst cause anyway ruger peace dump love pocket neck caught motherfucka house every sick tell seen 40 ai fifth back bounce disguise trickling gauge milli either still cannibal garden intro hit admit night doja mac sup killing shag simmering gone stomach say purple kicking give blocc verse fuck kush post insane mainly ta fact five digest sicker empty ca shot piss nine maniac even hey walking crept death leave pack bullet pump get new trunk motherfucker like eye lynch load stop vest whatever blockster reader glock cock hot twist street everyday got mack locc grave brain call busted man proof chest deuce read window better found let one glocks comin see come packed long prop rep thought agent indonesia trick away threw ak double main really as black block know hannibal took till fat done nut way sucked mini wear bloccsta reg creepin half underground spliff old little shit clip rest gut grab fool time pop locsta ripgut gang millimeter nigga feel shawn real ho indo day yet beanie throat four untouchable fo tech lap sayin running bitch progress cut knot around loc babe mothafuckas locs,0.254,0.654,0.092,-0.9915
meat loaf,i'd do anything for love (but i won't do that),1993,sand home never act pray run city outro town something make thunder qualified planet promise love maybe burning every later else sick soul turn seen rock back crazy sooner territory control intro night lie wheel keep drum colorize give believe verse easy life place fact hard sacred would response get nothing roll like hand stop hell hot got interlude tight call save forgive magic prayer better help one see le come long hose dance dream final lose cold forget watch raise tonight emerald sex midsummer coming seal black ooh go dreaming know brief true right end till fire everything way screwing godforsaken take star water wo vow silence old little breathing grain fling turning time move ever anything carved known god feel day white ice lonely fantasy dust fall hold pact holy build cater two around feeling,0.184,0.651,0.165,-0.3182
enrique iglesias,si t? te vas,1995,bon sauver rafales lapide supporter cerveau punchlines outro et balayette mot façonné un rasé mal serviette frérot gastambide keuf guerres plein avec trouvent finit total opinion dépecer puissant pute parler no tous futur plus valeurs va intro met savoir casqué travers membres dès croire elle se besoin zemel featuring death terre antisémite violence défaites taillés street parce de retour starbuck punch validé par passionné confiance ravage rase dans pierre feu crocs parfois ha propos bastos bien bide réussite je niquer marijuana fait franc douanes soit aux naissance ton tu rap paris kalash mon connais prêt famille quai rimer grand chez sont sa fumé coupe flemme marchant tijuana row tirer hyène morbide clan là liquide vrai anisé direct planter skunk droit chante choisit dealer balle plier ovationné ici nom génie fresnes hey reviens palestine coup vois punk daft noire préfère grave comptant herbe bâtards yeuc taule tout vivent même salopes mépris style fric accélérer analysés écrit en part sinco cadeau tranquille danser condés seul unique regarde pénurie être brutaliser plaisir merde cannabis calibré vieux pieds ba monde pue petit restera meurt nous sou hygiénique défavorisés parlé concurrence mettent croiser mené trop orbite légalisé dénoncer cœurs iglesias violé hérité mieux zénith han au haine faire ville peut avoir reconnais voiture ta putes dressés consomme murs trunk coûte sans rer encré te peux monte burnes bloc intérêts choisi perdre il alors fils geste assises connaît principe ou crâne rafale est game vies renault finir assassine comme dédicacer actes quartiers vérité pisse pa misérables affectif paire solide prod familles bourgeois pourrai banlieues détenus ne panier gang plaque marbre bif suis saignante une leurs vie vaut dégagé voir couplet si enrique pétasse ce dunk moto signé mort mères veux funk qui banquier rationner longtemps rempli mais granit bonne soleil éduquer peuvent scénarisé pour cannibaliser font chèques lorsque respecte défauts série personne gros punchsembed passe rue viens du règles cher seules soldats crédit pitié scenic flippent contrat la concu le agent dont donc salam tombale table autant sang bolide disparus rouler go aiguisé ligue khos aleykoum meilleurs plume anti que graille quand stationner ça me tête pendant sur ouais,0.045,0.935,0.02,-0.8442
aaliyah,down with the clique,1994,track menu clique mind brother town put vocalist something make air hear large peace slam love house hood well chat ai back peep plus posse intro night sing chapter say extra wrong funky verse waitin stick check good liyah da break pump get homies new school hand drop microphone boy smahd second got droppin haha aaliyah show project let see must background long thought sister beat knew thang tonight fist double ooh know took dog bridge chit jam goddamn pa yes take spread shop wreck old little guess first time explain mm somethin feel kelly glad throw,0.124,0.676,0.2,0.886
james cotton,ain't doing too bad,1984,riping standing arrive legend never bad fish longer mind chill wonder close homie ya plucked corner outro matrix put friend something magnolia float park enlighten parlay cause whole message einstein ace moral love thing gold perfect fucked fucking else tucked side think turn tell sensei impatient assumption virani intuition james gram ai vil back current greatest crazy ill blaw either giving wealth hoe prevail intro hit could rich drive wheel gone suffer keep say piercing give grew wrong yah leash drove fuck look tree swimming verse steel johnson insane dealembed round sample hope sorta mouth ca check even hard organic good next lady hook feast straight idea get frightened granted new nothing picture roll waiting stash school deal like sell hell boy food ball patient send saying fan lesson aura universe rocked keshawn astray cruella got flowing used communicating code de transvestite camp predict bargain call cotton standard want trying hoard lamp project man nissan tough find fail living aching better help pull let one see listen jack lube king glow hoping lay thought box strolling duck away beat dragon use open expedition goku order black as wet starter go baby slow vacation ran dog know right armor way searching door cancellation team similar take water harder wo vision dude dropping flow taking figure old shit guess breaking play fool hill beverly dangerous ceiling time big sweet direction ever need anything pill store nigga feel real meth told day sol newton morgan white though goodness celebration hold vacant theory everybody bos psych hardly path method two blow many queen feeling cap freeman rick,0.15,0.642,0.208,0.9428
ice cube,really doe,1993,kennedy fella fuckin stacey shut never jerome tit sauce hemorrhoid janky um run smith nike room ya city index thigh set gun put friend something please make atf dumb collect wesson tank herringbone pocket love reach doe house vapor knock yup south side think seen concrete ai back bounce waco gunshot smog far crease robbed aqua khaki sewed swallow diploma thirty atomic hoe intro hit buy afro paper rump reverend benefit shirt believe verse fuck shaker pinky ink motherfucking sample umm shot ten boogie general western getting check hard grip bee doin holding death leave cake pump get hopin east new motherfucker school punk koon mama like lynch chuck talkin light boy self peer ask rollo sit thumb got backbreaker taylor call cutter tap enemy want betsy left living toilet welcome pointer switch one shady mob roach looking jack catch felon phillie martin three pillow deputy kick braid trick sister open sir double motherfuckin count deep really as heh go baby slow try know dog west bust stripe coma right fat goddamn sorry take ross follow silly question unforgiven slingshot éses old hooker bench treat shit nyquil play mic said scopin terrordome hookie wallabee baller nobody quick kickin god phone told indo ice slick starting four stepping cube bos sweatshirt running bitch roller many queen kill cap rick,0.185,0.707,0.108,-0.9701
