artist_name,track_name,release_date,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
pavement,starlings of the slipstream,1997,"Starlings of the Slipstream Lyrics[Verse 1]
I heard what you said
The leaders are dead
They're robbing the skies
I can hear their followers cry

[Chorus]
Starlings in the slipstream
Starlings in the slipstream
Starlings in the slipstream
Starlings in the slipstream
[Verse 2]
The language of influence
Is cluttered with hard, hard Cs
And I put a spy cam
In a sorority

[Chorus]
Darlings on the split-screen
Darlings on the split-screen
Darlings on the split-screen

[Outro]
There's no women in Alaska
There's no Creoles in Vermont
There's no coast of Nebraska
My mother, I forgot
Slavic princess with a rose in her teeth
Do you suppose she would bite you if she could?
Insane cobra split the wood
Trader of the lowland breed
Call a jitney, drive away
In the slipstream we will stay
Stay away, away, away, away, away, away, away1Embed",0.128,0.813,0.06,-0.7906
wayne toups,take my hand,1997,"Take My Hand LyricsWhen I look, at your face
Your still as pretty as angel
But there's something outta place
What's wrong with you baby
I don't understand, Is it just me or do you want another man?

Take my hand, Say you'll be true
Say those simple words, Oh I love only you
Take my hand, Ohhh and hold it tight
Take my hand and everything will be alright
Still got the moves that blow me away
And when you kiss me baby
I still don't know what to say
But deep down inside me girl somthings wrong
I'm still a fool for you honey was I your fool all a long

Take my hand, say you will be true
And say those simple words oh I love only you
Take my hand, oh! and hold it tight
Take my hand and everything will be alright

Oh I got the feeling that you want a new life
But I was hopeing that someday, oh you'd be my wife
I understand if you wanted someone new
I could just about imagine how long it would take to get over you

Oh take my hand, say you'll be true
Say those simple words, oh I love only you
Take my hand, oh and hold it tight
Take my hand and everything will be alright,Yeah Yeah Yeah
Take my hand say you'll be true
Say those simple words oh I love only you
Take my hand oh and hold it tight
Take my hand and everything will be alright. No no no no!Embed",0.044,0.621,0.334,0.9987
green day,uptight,1997,"Uptight Lyrics[Verse 1]
I woke up on the wrong side of the floor
Made, made my way through the front door
Broke my engagement with myself
Perfect picture of bad health
Another notch scratched on my belt
The future just ain't what it used to be

[Verse 2]
I got a new start on a dead end road
Peaked, peaked out on reachin' new lows
Owed, paid off all my debts to myself
Perfect picture of bad health
Another notch scratched on my belt
The future's in my livin' room
[Chorus]
Uptight, I'm a nag with a gun, yeah
All night, suicide's last call
I've been uptight all night
I'm a son of a gun
Uptight, I'm a nag with a gun, yeah
All night, suicide's last call
I've been uptight all night
I'm a son of a gun

[Interlude]

[Chorus]
Uptight, I'm a nag with a gun, yeah
All night, suicide's last call
I've been uptight all night
I'm a son of a gun
Uptight, I'm a nag with a gun, yeah
All night, suicide's last call
I've been uptight all night
I'm a son of a gun
Uptight, I'm a nag with a gun, yeah
All night, suicide's last call
I've been uptight all night
I'm a son of a gun
Uptight, I'm a nag with a gun, yeah
All night, suicide's last call
I've been uptight all night
I'm a son of a gun4Embed",0.304,0.62,0.076,-0.9961
creed,ode,1997,"Ode Lyrics[Verse 1]
Hang me, watch awhile
Let me see you smile as I die
Take me, as my body burns
Let me see you yearn, while I cry

[Chorus]
One step on your own
And you walk all over me
One head in the clouds
You won't let go, you're too proud
One light to the blind, and they see
One touch on the head, we believe
[Verse 2]
Adore me as I drift away
Let me hear you say I'm fine
You cry as my body dies
All that you despised is gone away

[Chorus]
One step on your own
And you walk all over me
One head in the clouds
You won't let go, you're too proud
One light to the blind, and they see
One touch on the head, we believe

[Bridge]
We believe
(I have a couple questions for you)
(Yeah, go ahead)
(Where are we going?)
(26.7 degrees, is that about right?)

[Chorus]
One step on your own
And you walk all over me
One head in the clouds
You won't let go, you're too proud
One light to the blind, and they see
One touch on the head, we believe
[Outro]
We believe, yeah
(We believe)Embed",0.091,0.814,0.095,-0.168
green day,worry rock,1997,"Worry Rock Lyrics[Verse 1]
Another sentimental argument and bitter love
Fucked without a kiss again dragged it through the mud
Yelling at brick walls and punching windows made of stone
The worry rock has turned to dust and fallen on our pride

[Bridge]
A knock down, dragged out fight
Fat lips and open wounds
Another wasted night
And no one will take the fall
[Verse 2]
Where do we go from here, and what did you do with the directions?
Promise me no dead end streets
And I'll guarantee we'll have the road

[Guitar Solo]

[Bridge]
A knock down, dragged out fight
Fat lips and open wounds
Another wasted night
And no one will take the fall

[Verse 3]
Another sentimental argument and bitter love
Fucked without a kiss again dragged it through the mud
Where do we go from here, and what did you do with the directions?
Promise me no dead end streets
And I'll guarantee we'll have the road
And I'll guarantee we'll have the road
And I'll guarantee we'll have the road5Embed",0.232,0.616,0.151,-0.9397
the offspring,cool to hate,1997,"Cool to Hate Lyrics[Verse 1]
I hate a lotta things, I hate a lotta people that are lame
I like to hate stuff, 'cause then I don't have to try to make a change

[Pre-Chorus]
I hate teachers, I hate school
I hate the cheerleaders and anyone who's cool, yeah
I hate the office, I hate the Quad
Don't wanna learn nothing, I want to be a slob

[Chorus]
It's cool to hate (Hey) It's cool to hate (Ho-oh)
Don't like nothing, and I like that fine
It's cool to hate (Hey) It's cool to hate (Ho-oh)
Don't like nothing, and I like that fine
Don't like nothing, and I like that fine
Yeah, I hate everything, I even hate you too, so fuck you
[Verse 2]
I'm always thinking that I never have nothing good to say
I'd rather tear things down than build them up, it's easier that way

[Pre-Chorus]
I hate the jocks and I hate the geeks
I hate the trendies, but I also hate the freaks, yeah
I hate Dr. Martens and Muscle T's
I'm only happy when I'm in my misery

[Chorus]
It's cool to hate (Hey) It's cool to hate (Ho-oh)
Likin' something's just a waste of time
It's cool to hate (Hey) It's cool to hate (Ho-oh)
Likin' something's just a waste of time
Likin' something's just a waste of time
Yeah, I hate everything, I even hate me too, so fuck you

[Interlude]
Hey!
Hey!
Hey!

[Bridge]
It's cool to hate
It's cool to hate
It's cool to hate
It's cool to hate
[Breakdown]
Cut you down and give you lip
Being positive's so unhip
Cut you down, 'cause I'm a fool
Being positive's so uncool
Being positive's so uncool
Being positive's so uncool

[Pre-Chorus]
So, I hate the jocks and I hate the geeks
I hate the trendies, but I also hate the freaks, yeah
I hate your band and I hate TV
I'm only happy when I'm in my misery

[Chorus]
It's cool to hate (Hey) It's cool to hate (Ho-oh)
Don't like nothin', and I like that fine
It's cool to hate (Hey) It's cool to hate (Ho-oh)
Don't like nothin', and I like that fine
Don't like nothin' and I like that fine
Yeah, I hate everything, I even hate you too, so fuck youEmbed",0.385,0.457,0.158,-0.9994
mariah carey,babydoll,1997,"Babydoll Lyrics[Verse 1]
It's 2:11 and I'm stressing
Watching TV in my hotel suite
I check my service every second
At 2:10 you still hadn't called me
So I'm gonna leave my cell phone
Turned on in my purse by the bed
And before I fall asleep
I guess I'll just check my machine
Again and again because I'm
Obsessing on you
[Chorus]
I wanna be your babydoll
Wrap me up nice and tight
Love me all through the night
Come lay me down
Enfold me in your arms
Cover me with velvet kisses
Rock me on and on and whisper softly to me:
""You wanna be my babydoll""

[Verse 2]
Zoning out, thinking about you and me between the sheets
I wanna get intimate, but you're not within my reach
So I'll have a little more wine
And I'll try to drink you out of my head
And I'll lay awake awhile
'Til I'm high enough I can
Forget all about you until
I wake up again

[Chorus]
I wanna be your babydoll
Wrap me up nice and tight
Love me all through the night
Come lay me down
Enfold me in your arms
Cover me with velvet kisses
Rock me on and on and whisper softly to me:
""You wanna be my babydoll""
[Bridge]
Slipping into dreams
I feel my love surround you
My subconscious seems
To weave itself around you
Do you care for me?
Beyond idolization
Tell me how you feel
But don't keep me at bay
'Cause I won't be waiting long

[Chorus]
I wanna be your babydoll
Wrap me up nice and tight
Love me all through the night
Come lay me down
Enfold me in your arms
Cover me with velvet kisses
Rock me on and on and whisper softly to me:
""You wanna be my babydoll""
I wanna be your babydoll
Wrap me up nice and tight
Love me all through the night
Come lay me down
Enfold me in your arms
Cover me with velvet kisses
Rock me on and on and cuddle up next to me:
""Come on and be my babydoll""
[Outro]
Still layin' up in bed, it’s 3:27
My body’s lonely
Why ain’t ya callin'?
I’m ready for ya, boy don’t you know it?
Ooooh, you can ring my bell
Ring my bell, my bell
I wanna be your babydoll
Don't you wanna be my babydoll?
I wanna be your babydoll5Embed",0.025,0.831,0.145,0.9963
mariah carey,the roof,1997,"The Roof (Back in Time) Lyrics[Intro: Sample]
I got you stuck off the realness
I got you stuck off the realness

[Verse 1: Mariah Carey]
It wasn't raining yet
(Yet)
But it was definitely a little misty on
(But it was definitely)
That warm November night
And my heart was pounding
(Pounding)
My inner voice resounding
Begging me to turn away
But I just had to see your face
To feel alive
And then you casually walked in the room
And I was twisted in the web
Of my desire for you
(And I was twisted)
My apprehension blew away
I only wanted you
To taste my sadness
As you kissed me in the dark
[Chorus: Mariah Carey]
Every time I feel the need (and every time)
I envision you caressing me
And go back in time (back in time)
(I go back, I go back, I go back)
To relive the splendor of you and I
On the rooftop that rainy night

[Verse 2: Mariah Carey]
And so we finished the Moët and
I started feeling liberated
And I surrendered as you took me in your arms
(You took me in your arms)
I was so caught up in the moment
I couldn't bear to let you go yet (so I)
So I threw caution to the wind
And started listening to my longing heart
And then you softly pressed your lips to mine
And feelings surfaced I'd suppressed
For such a long long time
(And I was lifted)
And for a while I forgot
The sorrow and the pain
And melted with you as we stood
There in the rain
[Chorus: Mariah Carey]
Every time I feel the need (and every time)
I envision you caressing me
(Envision you, caressing me)
And go back in time (back in time)
(Back)
To relive the splendor of you and I (you and I, you and I)
On the rooftop that rainy night

[Chorus: Mariah Carey]
(Every time)
Every time I feel the need (and every time)
I envision you caressing me
(Envision you)
And go back in time (back in time)
To relive the splendor of you and I (you...)
On the rooftop that rainy night

[Bridge: Mariah Carey]
Last night I dreamed that I
(Last night I... dreamed that I...)
Whispered the words I love you
(That I love you boy...)
And touched you so very (touched)
Subtly as we were kissing goodbye
(Kiss... kiss... bye...)
(Pretty baby - How I'm missing you)

[Chorus: Mariah Carey]
(Every time I...)
Every time I feel the need (and every time)
I envision you caressing me
(Envision you, caressing me)
And go back in time (back in time)
To relive the splendor of you and I (I go back)
On the rooftop that rainy night
(On the roof that rainy night)

[Chorus: Mariah Carey]
Every time I feel the need (and every time)
(When I feel the need, I envision you)
I envision you caressing me
(Over and over and over again)
And go back in time (back in time)
To relive the splendor of you and I
(It was oh so sweet, you and I)
On the rooftop that rainy night
(On that rainy night)

[Chorus: Mariah Carey]
Every time I feel the need (and every time)
(Last night I had the strangest dream...)
I envision you caressing me
(It was actually quite symbolic)
And go back in time (back in time)
(As I whispered... That I loved you)
To relive the splendor of you and I
(...very subtly)
On the rooftop that rainy night

[Chorus: Mariah Carey]
Every time I feel the need (and every time)
I envision you caressing me
And go back in time (back in time)
To relive the splendor of you and I
On the rooftop that rainy night6Embed",0.05,0.795,0.155,0.9984
zhan?,crush,1997,"Crush Lyrics[Verse 1]
I needed sunshine in my day
Something to wash away the pain
I saw a very gentle side of him
That took my heart and made it sing
I wish he'd run away and hide with me
Love hurts so much more than it seems
There was one thing I didn't show
I love him and he doesn't know

[Bridge]
I wonder if I ever see the day
Will I ever find the nerve to say, I love you?
And will he turn around, walk away
Will he leave or will he stay, if I tell him?
[Verse 2]
Could he be the one who was in my dreams?
Could he be the one sent down for me?
There was one thing I failed to show, babe
I love him and he doesn't know

[Outro]
Have you ever loved somebody
Secretly loved somebody who didn't know?
Have you fell in love with somebody
Deeply loved somebody who didn't know?
I love him and he doesn't know me
I love him and he doesn't know
There was one thing I didn't show, baby
I love him and he doesn't know...Embed",0.085,0.694,0.221,0.99
blink-182,i'm sorry,1997,"I’m Sorry Lyrics[Chorus: Tom DeLonge]
Don't bide your time
Because it is almost over
And I know you're down
And I'll see you around
And I know it hurts
But you're just getting older
And I know you'll win
You'll do it once again

[Verse 1: Tom DeLonge]
Just yesterday
It always seemed like such a dream
We're unstoppable, indestructable
Nothing happens to our machine
And there's no harm
At least nothing we can see
As for you, not so true
You couldn't choose where his road would lead
[Verse 2: Tom DeLonge]
What a loss
You just lost all your sleep
And we've always thought
That this could never happen, you see
That it's so hard
You gotta get up on your feet
Cause the only way, I got to say
Is to move on through the week

[Chorus: Tom DeLonge]
Don't bide your time
Because it is almost over
And I know you're down
And I'll see you around
And I know it hurts
But you're just getting older
And I know you'll win
You'll do it once again

[Bridge: Mark Hoppus + (Tom DeLonge)]
I'm sorry, I'm sorry, I'm sorry, I'm sorry
I'm sorry, I'm sorry, I'm sorry, I'm sorry
I'm sorry, I'm sorry, I'm sorry, I'm sorry
I'm sorry, I'm sorry, I'm sorry, I'm sorry
I'm sorry, I'm sorry, I'm sorry, I'm sorry
(This happened to you)
I'm sorry, I'm sorry, I'm sorry, I'm sorry
(This happened to you)
I'm sorry, I'm sorry, I'm sorry, I'm sorry
(This happened to you)
I'm sorry, I'm sorry, I'm sorry, I'm sorry
(This happened to you)
[Chorus: Tom DeLonge]
Don't bide your time
Because it is almost over
And I know you're down
And I'll see you around
And I know it hurts
But you're just getting older
And I know you'll win
You'll do it once again4Embed",0.201,0.729,0.07,-0.9522
