,lyrics,year,num_words,num_lines,title,artist,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment,Lyrics,neg_sentiment_2,neu_sentiment_2,pos_sentiment_2,com_sentiment_2
0,"Mona Lisa, Mona Lisa, men have named you
You're so like the lady with the mystic smile
Is it only 'cause you're lonely they have blamed you?
For that Mona Lisa strangeness in your smile?

Do you smile to tempt a lover, Mona Lisa?
Or is this your way to hide a broken heart?
Many dreams have been brought to your doorstep
They just lie there and they die there

Are you warm, are you real, Mona Lisa?
Or just a cold and lonely lovely work of art?

Do you smile to tempt a lover, Mona Lisa?
Or is this your way to hide a broken heart?
Many dreams have been brought to your doorstep
They just lie there and they die there

Are you warm, are you real, Mona Lisa?
Or just a cold and lonely lovely work of art?

Mona Lisa, Mona Lisa",1950,145,17,Mona Lisa,Nat King Cole,0.137,0.632,0.23,0.9638,"Mona Lisa Lyrics[Verse 1]
Mona Lisa, Mona Lisa, men have named you
You're so like the lady with the mystic smile
Is it only 'cause you're lonely they have blamed you?
For that Mona Lisa strangeness in your smile?

Do you smile to tempt a lover, Mona Lisa?
Or is this your way to hide a broken heart?
Many dreams have been brought to your doorstep
They just lie there, and they die there
Are you warm? Are you real, Mona Lisa?
Or just a cold and lonely, lovely work of art?
[Instrumental Break]

[Verse 2]
Do you smile to tempt a lover, Mona Lisa?
Or is this your way to hide a broken heart?
Many dreams have been brought to your doorstep
They just lie there, and they die there
Are you warm? Are you real, Mona Lisa?
Or just a cold and lonely, lovely work of art?

[Outro]
Mona Lisa
Mona Lisa1Embed",0.137,0.632,0.23,0.9638
1,"I wanna be Loved
By Andrews Sisters

Oooo-ooooh

Oooo-ooooh

I wanna be loved,
(oooh)
With inspiration!
(oooh)
I wanna be loved,
Starting tonight!
(oooh)

Instead of merely
(oooh)
Holding conversation,
(oooh)
Hold me tight!

I wanna be kissed,
(aaaah)
Until I tingle!
(aaaah)
I wanna be kissed,
(aaaah)
Starting tonight!
(aaaah)

Embrace until 
our heartbeats intermingle,
Wrong or right!

I feel like acting my age!
I'm passed the stage of merely turtle-doving!
(Be careful! Be careful what you do!)
I'm in no mood to resist,
And I insist the world owes me a loving!
(oooh)

I wanna be thrilled
(oooh)
To desperation!
(oooh)
I wanna be thrilled,
(oooh)
starting tonight!
(Love me! Love me! Love me!)

With every kind of wonderful sensation!
I wanna be loved!
(aaaah)

I feel like acting my age!
I'm passed the stage of merely turtle-doving!
I'm in no mood to resist,
And I insist the world owes me a loving!

I wanna be thrilled to desperation!
(I wanna be thrilled!I wanna be thrilled!)
I wanna be thrilled, starting tonight!
(I wanna be thrilled tonight!)

With every kind of wonderful sensation,
I wanna be loved!",1950,189,31,I Wanna Be Loved,Andrews Sisters,0.052,0.623,0.325,0.997,"I Wanna Be Loved LyricsI wanna be Loved
By Andrews Sisters

Oooo-ooooh

Oooo-ooooh

I wanna be loved
(oooh)
With inspiration!
(oooh)
I wanna be loved
Starting tonight!
(oooh)
Instead of merely
(oooh)
Holding conversation
(oooh)
Hold me tight!

I wanna be kissed
(aaaah)
Until I tingle!
(aaaah)
I wanna be kissed
(aaaah)
Starting tonight!
(aaaah)

Embrace until
Our heartbeats intermingle
Wrong or right!

I feel like acting my age!
I'm passed the stage of merely turtle-doving!
(Be careful! Be careful what you do!)
I'm in no mood to resist
And I insist the world owes me a loving!
(oooh)
I wanna be thrilled
(oooh)
To desperation!
(oooh)
I wanna be thrilled
(oooh)
Starting tonight!
(Love me! Love me! Love me!)

With every kind of wonderful sensation!
I wanna be loved!
(aaaah)

I feel like acting my age!
I'm passed the stage of merely turtle-doving!
I'm in no mood to resist
And I insist the world owes me a loving!

I wanna be thrilled to desperation!
(I wanna be thrilled!I wanna be thrilled!)
I wanna be thrilled, starting tonight!
(I wanna be thrilled tonight!)

With every kind of wonderful sensation
I wanna be loved!Embed",0.052,0.623,0.325,0.997
2,"I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes, I lost my little darling on the night they were playing
The beautiful Tennessee Waltz

I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes, I lost my little darling on the night they were playing
The beautiful Tennessee Waltz",1950,138,16,Tennessee Waltz,Patti Page,0.048,0.632,0.319,0.9947,"Tennessee Waltz LyricsI was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
I Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes, I lost my little darling on the night they were playing
The beautiful Tennessee Waltz

I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
I Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me
I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes, I lost my little darling on the night they were playing
The beautiful Tennessee WaltzEmbed",0.048,0.632,0.319,0.9947
3,"Each time I hold someone new
My arms grow cold aching for you
No one can take your place
Darling in my embrace
I'll never be free

And when my lips burn with desire
No other kiss puts out the fire
Though I may try and try
No one can satisfy this longing in me

I'll never be free from your smile so tender
The sweet surrender in your eyes
How can I be free when I still remember
How you could thrill me with a sigh

Just like a chain bound to my heart
Your love remains when we're apart
Each kiss I gave to you
Made me a slave to you
I'll never be free",1950,117,18,I'll Never Be Free,Tennessee Ernie Ford,0.149,0.613,0.239,0.9469,"I’ll Never Be Free LyricsEach time I hold someone new
My arms grow cold aching for you
No one can take your place
Darling in my embrace
I'll never be free

And when my lips burn with desire
No other kiss puts out the fire
Though I may try and try
No one can satisfy this longing in me
I'll never be free from your smile so tender
The sweet surrender in your eyes
How can I be free when I still remember
How you could thrill me with a sigh

Just like a chain bound to my heart
Your love remains when we're apart
Each kiss I gave to you
Made me a slave to you
I'll never be freeEmbed",0.149,0.613,0.239,0.9469
4,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?",1950,32,3,All My Love,Patti Page,0.017,0.684,0.299,0.998,"All My Love (Bolero) LyricsAll my love, I give you all my love
The skies may fall, my love
But I will still be true
All my sighs will disappear at last
Now that you're here at last
My heart belongs to you

Oh ooh, never let me go
You thrill me so
I can see as I recall my life
I've waited all my life
To give you all my love
Ay, ay, ay
Ay, ay, ay
Ay, ay, ay
Ay, ay, ay

Bow, caballero, and tip your sombrero
To your señorita, the lovely Chiquita
Waiting so long for you and your song

While you are playing her heart will be swaying
She will surrender her kisses so tender
To you she will cling the moment that you sing

All my love, I give you all my love
The skies may fall, my love
But I will still be true
All my sighs will disappear at last
Now that you're here at last
My heart belongs to you

Oh ooh, never let me go
You thrill me so
I can see as I recall my life
I've waited all my life
To give you all my love
Ay, ay, ay
Ay, ay, ay
Ay, ay, ay
Ay, ay, ayEmbed",0.017,0.684,0.299,0.998
5,"Hoop dee doo, hoop dee doo,  
I hear a polka an' my troubles are through!  
Hoop dee doo, hoop dee dee,  
this kind of music is like heaven to me!  

Hoop dee doo, hoop dee doo,  
it's got me higher than a kite,  
hand me down my soup an' fish  
I am gonna get my wish, hoop dee doin' it tonight!  

When there's a trombone playin'  
I get a thrill, I always will!  
When there's a concertina, stretched about a  mile,  
I always smile, 'cause that's my style! 

When there's a fiddle in the middle  
oh! it really is a riddle, how he plays a tune so sweet!  
Plays a tune so sweet that I could die,  
lead me to the floor an' hear me yell for more  
'cause I'm a hoop dee doin' kind of guy! 

Hoop dee doo ( Hoop dee doo! ) hoop dee doo ( Hoop dee doo! ) 
I hear a polka an' my troubles are through! ( Ha, ha, ha ha! ) 
Hoop dee doo ( Hoop dee doo! ) hoop dee dee ( Hoop dee dee! ) 
this kind of music is like heaven to me!  

Hoop dee doo ( Hoop dee doo! ) hoop dee doo ( Hoop dee doo! ) 
it's got me higher than a kite,  


hand me down my soup an' fish  
I am gonna get my wish, hoop dee doin' it tonight!  

When there's a trombone playin'  
He gets a thrill! I get a thrill, I always will! He always will! 
When there's a concertina . . . stretched about a  mile,  
I always smile ( You'll see him smile! ) 'cause that's my style! ( 'Cause that's his style! ) 

When there's a fiddle in the middle  
oh! it really is a riddle, how he plays a tune so sweet!  
Plays a tune so sweet that we could die! 
Oh yes! . . . lead me to the floor an' hear me yell for more  
'cause I'm a hoop dee doin' kind of guy! 

 

Hoop dee doo, hoop dee doo,  
it's got us higher than a kite,  
we're in clover, we're in bloom  
when we're dancin' give us room  
hoop dee doin' it with all of our might,  
rain may fall an' snow may come  
nothin's gonna stop us from 
hoop dee doin' it, hoop dee doin' it,  
hoop dee doin' it . . . tonight! 

Music by Milton de Lugg  
with lyrics by Frank Loesser",1950,382,54,Hoop-Dee-Doo,Perry Como,0.035,0.817,0.148,0.9935,"Hoop-Dee-Doo LyricsHoop dee doo, hoop dee doo
I hear a polka an' my troubles are through!
Hoop dee doo, hoop dee dee
This kind of music is like heaven to me!

Hoop dee doo, hoop dee doo
It's got me higher than a kite
Hand me down my soup an' fish
I am gonna get my wish, hoop dee doin' it tonight!

When there's a trombone playin'
I get a thrill, I always will!
When there's a concertina, stretched about a mile
I always smile, 'cause that's my style!
When there's a fiddle in the middle
Oh! it really is a riddle, how he plays a tune so sweet!
Plays a tune so sweet that I could die
Lead me to the floor an' hear me yell for more
'cause I'm a hoop dee doin' kind of guy!

Hoop dee doo ( Hoop dee doo! ) hoop dee doo ( Hoop dee doo! )
I hear a polka an' my troubles are through! ( Ha, ha, ha ha! )
Hoop dee doo ( Hoop dee doo! ) hoop dee dee ( Hoop dee dee! )
This kind of music is like heaven to me!

Hoop dee doo ( Hoop dee doo! ) hoop dee doo ( Hoop dee doo! )
It's got me higher than a kite

Hand me down my soup an' fish
I am gonna get my wish, hoop dee doin' it tonight!

When there's a trombone playin'
He gets a thrill! I get a thrill, I always will! He always will!
When there's a concertina . . . stretched about a mile
I always smile ( You'll see him smile! ) 'cause that's my style! ( 'Cause that's his style! )

When there's a fiddle in the middle
Oh! it really is a riddle, how he plays a tune so sweet!
Plays a tune so sweet that we could die!
Oh yes! . . . lead me to the floor an' hear me yell for more
'cause I'm a hoop dee doin' kind of guy!
Instrumental break

Hoop dee doo, hoop dee doo
It's got us higher than a kite
We're in clover, we're in bloom
When we're dancin' give us room
Hoop dee doin' it with all of our might
Rain may fall an' snow may come
Nothin's gonna stop us from
Hoop dee doin' it, hoop dee doin' it
Hoop dee doin' it . . . tonight!

Music by Milton de LuggEmbed",0.035,0.817,0.148,0.9935
6,"i love those dear hearts and gentle people
who live in my home town
because those dear hearts and gentle people
will never ever let you down

they read the good book 
from fri till monday
that's how the weekend goes
i've got a dream house
i'll build there one day
with picket fence and ramblin rows

i feel so welcome each time i return
that my happy heart keeps laughing like a clown
i love the dear hearts and gentle people
who live and love in my home town

there's a place i'd like to go 
and it's back in idaho
where you're friendly neighbors smile and say hello
it's a pleasure and a treat 
to meandor down the street 
that's why i want the whole wide world to know
i love those dear hearts 
i love the gentle people
(who live in my home town)
because those dear hearts and gentle people 
will never ever let you down

they read the good book 
from fri till monday
that's how the weekend goes
i've got a dream house
i'll build there one day
with picket fence and ramblin rows

i feel so welcome each time i return
that my happy heart keeps laughing like a clown
i love the dear hearts and gentle people
who live and love in my home town

(home home sweet home
home home sweet home)
home home sweet home
home home sweet home",1950,239,39,Dear Hearts And Gentle People,Bing Crosby,0.0,0.524,0.476,0.9995,"Dear Hearts and Gentle People LyricsI love those dear hearts and gentle people
Who live in my hometown
Because those dear hearts and gentle people
Will never ever let you down

They read the good book from Fri till Monday
That's how the weekend goes
I've got a dream house I'll build there one day
With picket fence and ramblin' rows

I feel so welcome each time I return
That my happy heart keeps laughing like a clown
I love the dear hearts and gentle people
Who live and love in my hometown
There's a place I'd like to go and it's back in Idaho
Where you're friendly neighbors smile and say hello
It's a pleasure and a treat to meander down the street
That's why i want the whole wide world to know

I love those dear hearts, I love the gentle people
(Who live in my hometown)
Because those dear hearts and gentle people
Will never ever let you down

Read the good book from Fri till Monday
That's how the weekend goes
I've got a dream house I'll build there one day
With picket fence and ramblin' rows

I feel so welcome each time that I return
That my happy heart keeps laughing like a clown
I love the dear hearts and gentle people
Who live and love in my hometown

(Home, home sweet home)
(Home, home sweet home)
Home, home sweet home
Home, home sweet homeEmbed",0.0,0.524,0.476,0.9995
7,"My heart knows what the wild goose knows,
I must go where the wild goose goes.
Wild goose, brother goose, which is best?
A wanderin' foot or a heart at rest? 

Tonight I heard the wild goose cry,
Wingin' north in the lonely sky.
Tried to sleep, it weren't no use,
'Cause I am a brother to the old wild goose, 

(Oh, my heart knows what the wild goose knows,)
(And I must go where the wild goose goes.)
(Wild goose, brother goose, which is best?)
(A wanderin' foot or a heart at rest?) 

Woman was kind and true to me.
She thinks she loves me, the more fool she.
She's got a love that ain't no use,
To love a brother of the old wild goose. 

(My heart knows what the wild goose knows,)
(And I must go where the wild goose goes.)
(Wild goose, brother goose, which is best?)
(A wanderin' foot or a heart at rest?)
(Oh, you wild goose.) 

The cabin is warm and the snow is deep,
I got a woman who lies asleep.
She'll wake at tomorrow's dawn,
She'll find, poor critter, that her man is gone.
(Oh, you wild goose.) 

My heart knows what the wild goose knows,
I must go where the wild goose goes.
Wild goose, brother goose, which is best?
A wanderin' foot or a heart at rest?
Let me fly, let me fly, let me fly away. 

Spring is comin' and the ice will break,
I can't linger for a woman's sake.
She'll see a shadow pass overhead.
She'll find my feathers beside my bed. 

(My heart knows what the wild goose knows,)
(And I must go where the wild goose goes.)
Wild goose, brother goose, which is best?
A wanderin' foot or a heart at rest? 

(Wild goose, wild goose, wild goose, wild goose.)",1950,306,40,Cry Of The Wild Goose,Frankie Laine,0.072,0.778,0.151,0.9675,"Cry of the Wild Goose Lyrics(Chorus: Frankie Laine)
My heart knows what the wild goose knows
I must go where the wild goose goes
Wild goose, brother goose, which is best
A wandering foot or a heart at rest?

(Verse 1: Frankie Laine)
Tonight I heard the wild goose cry
Winging north in the lonely sky
Tried to sleep but it weren't no use
Because I am a brother to the old wild goose
(Chorus: The Easy Riders)

(Verse 2: Frankie Laine)
Woman was kind and true to me
She thinks she loves me, the more fool she
She's gotta learn that it ain't no use
To love a brother of the old wild goose

(Chorus)
Oh, you wild goose

(Verse 3: Frankie Laine)
The cabin is warm and the snow is deep
I got a woman who lies asleep
She'll wake at tomorrow's dawn
She'll find, poor critter, that her man is gone
Oh, you wild goose

(Chorus: Frankie Laine)
Let me fly, let me fly, let me fly away

(Verse 4: Frankie Laine)
Spring is coming and the ice will break
I can't linger for a woman's sake
She'll see a shadow pass overhead
She'll find my feathers beside my bed
(Chorus)
Wild goose, wild goose, wild goose, wild goose2Embed",0.072,0.778,0.151,0.9675
8,"They try to tell us we're too young
Too young to really be in love
They say that love's a word
A word we've only heard
But can't begin to know the meaning of

And yet we're not too young to know
This love will last though years may go
And then someday they may recall
We were not too young at all

And yet we're not too young to know
This love will last though years may go
And then someday they may recall
We were not too young at all",1951,92,13,Too Young,Nat King Cole,0.0,0.85,0.15,0.9625,"Too Young Lyrics[Verse]
They try to tell us we're too young
Too young to really be in love
They say that love's a word
A word we've only heard
But can't begin to know the meaning of
And yet we're not too young to know
This love will last though years may go
And then someday they may recall
We were not too young at all
[Instrumental Break]

[Outro]
And yet we're not too young to know
This love will last though years may go
And then someday they may recall
We were not too young at allEmbed",0.0,0.85,0.15,0.9625
9,"Because of you there's a song in my heart
Because of you my romance had its start
Because of you the sun will shine
The moon and stars will say you're mine
Forever, and never to part

I only live for your love and your kiss
It's paradise to be near you like this
Because of you, my life is now worthwhile
And I can smile because of you

I only live for your love and your kiss
It's paradise to be near you like this
Because of you, my life is now worthwhile
And I can smile because of you",1951,101,13,Because Of You,Tony Bennett,0.0,0.667,0.333,0.9923,"Because of You LyricsBecause of you there's a song in my heart
Because of you my romance had its start
Because of you the sun will shine
The moon and stars will say you're mine
Forever, and never to part

I only live for your love and your kiss
It's paradise to be near you like this
Because of you, my life is now worthwhile
And I can smile because of you
I only live for your love and your kiss
It's paradise to be near you like this
Because of you, my life is now worthwhile
And I can smile because of you1Embed",0.0,0.667,0.333,0.9923
