rank,song,artist,last-week,peak-rank,weeks-on-board,date
1,Butter,BTS,1.0,1,7,2021-07-17
2,Good 4 U,Olivia Rodrigo,2.0,1,8,2021-07-17
3,Levitating,Dua Lipa Featuring DaBaby,4.0,2,40,2021-07-17
4,Kiss Me More,Doja Cat Featuring SZA,3.0,3,13,2021-07-17
5,Montero (Call Me By Your Name),Lil Nas X,8.0,1,15,2021-07-17
6,Bad Habits,Ed Sheeran,5.0,5,2,2021-07-17
7,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),6.0,1,18,2021-07-17
8,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,7.0,1,16,2021-07-17
9,Save Your Tears,The Weeknd & Ariana Grande,9.0,1,30,2021-07-17
10,Deja Vu,Olivia Rodrigo,10.0,3,14,2021-07-17
11,Astronaut In The Ocean,Masked Wolf,12.0,6,21,2021-07-17
12,Rapstar,Polo G,13.0,1,13,2021-07-17
13,You Right,Doja Cat & The Weeknd,11.0,11,2,2021-07-17
14,Am I The Only One,Aaron Lewis,,14,1,2021-07-17
15,Blinding Lights,The Weeknd,18.0,1,83,2021-07-17
16,Without You,The Kid LAROI,15.0,8,31,2021-07-17
17,Thot Shit,Megan Thee Stallion,16.0,16,4,2021-07-17
18,Forever After All,Luke Combs,19.0,2,37,2021-07-17
19,Heartbreak Anniversary,Giveon,20.0,16,21,2021-07-17
20,Fancy Like,Walker Hayes,34.0,20,3,2021-07-17
